"status","message","data__total","data__result__value","data__result__time","data__result__date","data__result__span","data__average","data__location_id","data__commodity_id","data__legend","data__commodity_name","stat__|","stat__|__total","stat__|__nb_data","stat__|__avg"
"","","","11000","October 2, 2015","2015-10-02","275","","","","","","October 2, 2015","11000","1","11000"
"","","","11000","October 9, 2015","2015-10-09","282","","","","","","October 9, 2015","11000","1","11000"
"","","","11000","October 16, 2015","2015-10-16","289","","","","","","October 16, 2015","11000","1","11000"
"","","","11000","October 23, 2015","2015-10-23","296","","","","","","October 23, 2015","11000","1","11000"
"","","","11000","October 30, 2015","2015-10-30","303","","","","","","October 30, 2015","11000","1","11000"
"","","","11500","November 6, 2015","2015-11-06","310","","","","","","November 6, 2015","11500","1","11500"
"","","","11500","November 13, 2015","2015-11-13","317","","","","","","November 13, 2015","11500","1","11500"
"","","","11500","November 20, 2015","2015-11-20","324","","","","","","November 20, 2015","11500","1","11500"
"","","","11500","November 27, 2015","2015-11-27","331","","","","","","November 27, 2015","11500","1","11500"
"","","","11500","December 4, 2015","2015-12-04","338","","","","","","December 4, 2015","11500","1","11500"
"","","","11500","December 11, 2015","2015-12-11","345","","","","","","December 11, 2015","11500","1","11500"
"","","","11500","December 18, 2015","2015-12-18","352","","","","","","December 18, 2015","11500","1","11500"
"","","","11500","December 25, 2015","2015-12-25","359","","","","","","December 25, 2015","11500","1","11500"
"","","","11500","January 1, 2016","2016-01-01","1","","","","","","January 1, 2016","11500","1","11500"
"","","","11500","January 8, 2016","2016-01-08","8","","","","","","January 8, 2016","11500","1","11500"
"","","","11500","January 15, 2016","2016-01-15","15","","","","","","January 15, 2016","11500","1","11500"
"","","","11500","January 22, 2016","2016-01-22","22","","","","","","January 22, 2016","11500","1","11500"
"","","","11500","January 29, 2016","2016-01-29","29","","","","","","January 29, 2016","11500","1","11500"
"","","","12000","February 5, 2016","2016-02-05","36","","","","","","February 5, 2016","12000","1","12000"
"","","","12000","February 12, 2016","2016-02-12","43","","","","","","February 12, 2016","12000","1","12000"
"","","","12000","February 19, 2016","2016-02-19","50","","","","","","February 19, 2016","12000","1","12000"
"","","","12000","February 26, 2016","2016-02-26","57","","","","","","February 26, 2016","12000","1","12000"
"","","","12000","March 4, 2016","2016-03-04","64","","","","","","March 4, 2016","12000","1","12000"
"","","","12000","March 11, 2016","2016-03-11","71","","","","","","March 11, 2016","12000","1","12000"
"","","","12000","March 18, 2016","2016-03-18","78","","","","","","March 18, 2016","12000","1","12000"
"","","","12000","March 25, 2016","2016-03-25","85","","","","","","March 25, 2016","12000","1","12000"
"","","","12000","April 1, 2016","2016-04-01","92","","","","","","April 1, 2016","12000","1","12000"
"","","","12000","April 8, 2016","2016-04-08","99","","","","","","April 8, 2016","12000","1","12000"
"","","","12000","April 15, 2016","2016-04-15","106","","","","","","April 15, 2016","12000","1","12000"
"","","","12000","April 22, 2016","2016-04-22","113","","","","","","April 22, 2016","12000","1","12000"
"","","","12000","April 29, 2016","2016-04-29","120","","","","","","April 29, 2016","12000","1","12000"
"","","","12000","May 6, 2016","2016-05-06","127","","","","","","May 6, 2016","12000","1","12000"
"","","","12000","May 13, 2016","2016-05-13","134","","","","","","May 13, 2016","12000","1","12000"
"","","","12000","May 20, 2016","2016-05-20","141","","","","","","May 20, 2016","12000","1","12000"
"","","","12000","May 27, 2016","2016-05-27","148","","","","","","May 27, 2016","12000","1","12000"
"","","","12000","June 3, 2016","2016-06-03","155","","","","","","June 3, 2016","12000","1","12000"
"","","","12000","June 10, 2016","2016-06-10","162","","","","","","June 10, 2016","12000","1","12000"
"","","","12000","June 17, 2016","2016-06-17","169","","","","","","June 17, 2016","12000","1","12000"
"","","","12000","June 24, 2016","2016-06-24","176","","","","","","June 24, 2016","12000","1","12000"
"","","","12000","July 1, 2016","2016-07-01","183","","","","","","July 1, 2016","12000","1","12000"
"","","","12000","July 8, 2016","2016-07-08","190","","","","","","July 8, 2016","12000","1","12000"
"","","","12000","July 15, 2016","2016-07-15","197","","","","","","July 15, 2016","12000","1","12000"
"","","","12000","July 22, 2016","2016-07-22","204","","","","","","July 22, 2016","12000","1","12000"
"","","","12000","July 29, 2016","2016-07-29","211","","","","","","July 29, 2016","12000","1","12000"
"","","","12000","August 5, 2016","2016-08-05","218","","","","","","August 5, 2016","12000","1","12000"
